Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultScore,100m,Long Jump,Shot Put,High Jump,400m,110m Hurdles,Discus Throw,Pole Vault,Javelin Throw,1500m
48,8733,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Talence (FRA),30 JUL 2000,1240,10.75,7.58,16.14,1.95,48.07,13.93,49.22,4.90,69.37,4:30.83
49,8732,Tom PAPPAS,06 SEP 1976,USA,2,Götzis (AUT),30 MAY 2004,1240,10.74,7.45,15.89,2.15,48.81,13.90,48.73,5.20,64.48,4:49.03
49,8732,Bryan CLAY,03 JAN 1980,USA,1,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,1240,10.43,7.54,16.25,2.00,47.78,14.43,53.68,4.90,72.00,5:03.77
51,8730,Jürgen HINGSEN,15 APR 1958,FRG,2,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1240,10.87,7.89,16.46,2.12,48.79,14.52,48.42,4.60,64.38,4:21.61
51,8730,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,2,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1240,10.81,7.56,15.71,1.97,46.71,13.74,50.50,5.20,59.82,4:37.10
53,8729,Ashton EATON,21 JAN 1988,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUN 2011,1240,10.33,7.80,14.14,2.05,46.35,13.52,41.58,5.05,56.19,4:24.10
54,8726,Dan O'BRIEN,18 JUL 1966,USA,1,"Atlanta, GA (USA)",22 JUN 1996,1239,10.32,7.46,15.64,2.08,46.81,14.04,49.38,5.20,65.22,5:12.01
54,8726,Kevin MAYER,10 FEB 1992,FRA,2,"National Stadium, Tokyo (JPN)",05 AUG 2021,1239,10.68,7.50,15.07,2.08,50.31,13.90,48.08,5.20,73.09,4:43.17
56,8725,Dmitriy KARPOV,23 JUL 1981,KAZ,3,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1239,10.50,7.81,15.93,2.09,46.81,13.97,51.65,4.60,55.54,4:38.11
56,8725,Trey HARDEE,07 FEB 1984,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2015,1239,10.48,7.61,14.55,1.97,48.41,13.71,52.05,5.35,61.92,4:45.77
58,8724,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1239,10.72,7.05,15.49,2.09,47.64,13.57,49.26,5.30,61.88,4:39.34
59,8720,Kyle GARLAND,28 MAY 2000,USA,2,"John McDonnell Field, Fayetteville, AR (USA)",07 MAY 2022,1238,10.63,7.86,16.44,2.16,49.04,13.71,46.16,4.85,59.63,4:43.21
60,8715,Dan O'BRIEN,18 JUL 1966,USA,1,St. Petersburg (RUS),29 JUL 1994,1237,10.49,7.81,15.70,2.20,47.73,13.81,48.10,4.90,62.20,5:10.94
61,8711,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1237,10.12,7.67,15.34,2.00,47.38,13.64,47.23,4.60,63.67,4:37.39
62,8710,Dan O'BRIEN,18 JUL 1966,USA,1,Talence (FRA),11 SEP 1994,1237,10.43,7.75,15.81,2.06,48.06,13.91,48.88,5.20,59.56,4:56.58
63,8707,Dan O'BRIEN,18 JUL 1966,USA,1,"Knoxville, TN (USA)",15 JUN 1994,1236,10.31,7.81,15.87,2.17,48.19,13.98,46.34,5.15,62.28,5:16.42
64,8706,Frank BUSEMANN,26 FEB 1975,GER,2,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1236,10.60,8.07,13.60,2.04,48.34,13.47,45.04,4.80,66.86,4:31.41
64,8706,Erki NOOL,25 JUN 1970,EST,2,Talence (FRA),30 JUL 2000,1236,10.69,7.81,14.20,1.95,46.95,14.43,41.84,5.50,68.89,4:30.40
66,8705,Dave JOHNSON,07 APR 1963,USA,1,"Azusa, CA (USA)",24 APR 1992,1236,10.96,7.52,14.61,2.04,48.19,14.17,49.88,5.28,66.96,4:29.38
67,8701,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Stadionring, Ratingen (GER)",16 JUN 2002,1235,10.87,7.76,15.55,2.10,48.26,14.04,46.52,5.00,62.17,4:29.76
67,8701,Pierce LEPAGE,22 JAN 1996,CAN,2,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1235,10.39,7.54,14.83,1.99,46.84,13.78,53.26,5.00,57.52,4:42.77
69,8700,Pierce LEPAGE,22 JAN 1996,CAN,1,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1235,10.28,7.57,15.05,2.03,48.01,13.87,49.34,5.00,63.09,4:45.74
70,8697,Roman ŠEBRLE,26 NOV 1974,CZE,1,Kladno (CZE),20 JUN 2007,1235,10.94,7.84,16.47,2.12,48.99,14.39,47.66,4.80,68.87,4:40.44
71,8695,Dan O'BRIEN,18 JUL 1966,USA,1,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,1234,10.57,7.55,14.82,2.13,47.81,13.78,46.92,5.20,62.90,4:52.52
71,8695,Damian WARNER,04 NOV 1989,CAN,2,"National Stadium, Beijing (CHN)",29 AUG 2015,1234,10.31,7.65,14.44,2.04,47.30,13.63,44.99,4.80,63.50,4:31.51
73,8694,Chris HUFFINS,19 APR 1970,USA,1,"New Orleans, LA (USA)",20 JUN 1998,1234,10.31,7.76,15.43,2.18,49.02,14.02,53.22,4.60,61.59,4:59.43
74,8691,Niklas KAUL,11 FEB 1998,GER,1,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1234,11.27,7.19,15.10,2.02,48.48,14.64,49.20,5.00,79.05,4:15.70
75,8690,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Talence (FRA),19 SEP 1999,1233,10.75,7.76,16.63,2.07,49.10,13.95,50.17,4.40,70.55,4:40.97
76,8689,Trey HARDEE,07 FEB 1984,USA,1,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,1233,10.44,7.88,15.63,2.00,48.12,13.73,45.20,5.06,63.33,4:46.88
77,8682,Dan O'BRIEN,18 JUL 1966,USA,1,"Sacramento, CA (USA)",15 JUN 1995,1232,10.36,7.82,15.28,2.09,47.96,13.84,51.18,4.80,61.56,5:01.02
78,8681,Karel TILGA,05 FEB 1998,EST,4,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1232,10.84,7.58,15.75,2.05,48.58,14.68,50.57,4.80,66.42,4:20.73
79,8677,Bryan CLAY,03 JAN 1980,USA,1,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,1231,10.42,7.67,15.56,2.06,48.87,13.74,52.21,5.00,66.47,5:13.47
80,8676,Siegfried WENTZ,07 MAR 1960,FRG,3,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1231,10.83,7.60,15.45,2.12,47.57,14.07,45.66,4.90,65.34,4:35.00
80,8676,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1231,11.04,7.56,15.92,2.12,48.80,14.33,48.75,4.80,71.18,4:35.32
80,8676,Zachery ZIEMEK,23 FEB 1993,USA,3,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1231,10.57,7.70,15.37,2.08,49.56,14.47,48.40,5.40,62.18,4:44.97
83,8672,Erki NOOL,25 JUN 1970,EST,1,Götzis (AUT),31 MAY 1998,1231,10.55,7.88,14.46,2.03,47.07,14.39,40.73,5.30,67.50,4:40.46
84,8671,Trey HARDEE,07 FEB 1984,USA,2,"Olympic Stadium, London (GBR)",09 AUG 2012,1230,10.42,7.53,15.28,1.99,48.11,13.54,48.26,4.80,66.65,4:40.94
85,8670,Michael SCHRADER,01 JUL 1987,GER,2,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1230,10.73,7.85,14.56,1.99,47.66,14.29,46.44,5.00,65.67,4:25.38
86,8667,Daley THOMPSON,30 JUL 1958,GBR,1,Arles (FRA),18 MAY 1986,1230,10.56,7.81,15.39,1.98,47.52,14.35,47.62,4.90,63.28,4:30.04
86,8667,Erki NOOL,25 JUN 1970,EST,1,"Népstadion, Budapest (HUN)",20 AUG 1998,1230,10.58,7.80,14.40,1.97,46.67,14.68,40.79,5.40,70.65,4:38.00
88,8666,Damian WARNER,04 NOV 1989,CAN,3,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1230,10.30,7.67,13.66,2.04,47.35,13.58,44.93,4.70,63.19,4:24.90
89,8664,Tomáš DVOŘÁK,11 MAY 1972,CZE,3,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1229,10.64,7.60,15.82,1.98,48.29,13.79,46.28,4.70,70.16,4:31.25
89,8664,Erki NOOL,25 JUN 1970,EST,2,Talence (FRA),19 SEP 1999,1229,10.79,7.93,14.18,1.98,47.35,14.58,44.47,5.50,68.84,4:44.51
91,8663,Daley THOMPSON,30 JUL 1958,GBR,1,Edinburgh (GBR),28 JUL 1986,1229,10.37,7.70,15.01,2.08,47.30,14.22,43.72,5.10,60.82,4:39.63
91,8663,Rico FREIMUTH,14 MAR 1988,GER,1,"Stadionring, Ratingen (GER)",25 JUN 2017,1229,10.44,7.60,14.87,2.01,48.76,13.87,51.56,4.90,62.33,4:37.04
93,8660,Bryan CLAY,03 JAN 1980,USA,1,"Sacramento, CA (USA)",17 JUL 2004,1229,10.48,7.59,15.28,2.01,47.90,14.23,52.10,5.10,68.36,5:06.18
94,8659,Damian WARNER,04 NOV 1989,CAN,1,"CIBC, Toronto (CAN)",23 JUL 2015,1229,10.28,7.68,14.36,1.97,47.66,13.44,47.56,4.60,61.53,4:24.73
95,8654,Leonel SUÁREZ,01 SEP 1987,CUB,1,La Habana (CUB),04 JUL 2009,1228,11.07,7.42,14.39,2.09,47.65,14.15,46.07,4.70,77.47,4:27.29
96,8652,Frank BUSEMANN,26 FEB 1975,GER,3,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1228,10.76,7.96,13.53,2.09,48.32,13.55,42.56,5.00,63.92,4:29.27
97,8649,Ashley MOLONEY,13 MAR 2000,AUS,3,"National Stadium, Tokyo (JPN)",05 AUG 2021,1227,10.34,7.64,14.49,2.11,46.29,14.08,44.38,5.00,57.12,4:39.19
98,8647,Garrett SCANTLING,19 MAY 1993,USA,1,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1227,10.53,7.61,15.91,2.05,48.86,13.88,48.17,5.15,64.21,4:57.75
99,8645,Siegfried WENTZ,07 MAR 1960,FRG,1,Götzis (AUT),24 MAY 1987,1226,10.85,7.49,15.82,2.05,47.55,13.96,48.20,4.80,65.50,4:34.58
99,8645,Leo NEUGEBAUER,19 JUN 2000,GER,5,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1226,10.69,8.00,17.04,2.02,47.99,14.75,47.63,5.10,57.95,4:43.93
101,8644,Steve FRITZ,01 NOV 1967,USA,4,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1226,10.90,7.77,15.31,2.04,50.13,13.97,49.84,5.10,65.70,4:38.26
101,8644,Maurice SMITH,28 SEP 1980,JAM,2,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1226,10.62,7.50,17.32,1.97,47.48,13.91,52.36,4.80,53.61,4:33.52
103,8641,Erki NOOL,25 JUN 1970,EST,1,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1226,10.68,7.76,15.11,2.00,46.71,14.48,43.66,5.00,65.82,4:29.48
104,8640,Leonel SUÁREZ,01 SEP 1987,CUB,2,"Olympiastadion, Berlin (GER)",20 AUG 2009,1226,11.13,7.24,15.20,2.11,48.00,14.45,44.71,5.00,75.19,4:27.25
105,8636,Steve FRITZ,01 NOV 1967,USA,2,"Atlanta, GA (USA)",22 JUN 1996,1225,10.74,7.62,16.25,2.05,49.36,13.80,50.24,4.90,63.74,4:46.20
106,8634,Roman ŠEBRLE,26 NOV 1974,CZE,2,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1225,11.00,7.64,15.47,2.06,47.90,14.25,47.47,4.80,69.79,4:34.45
107,8630,Kyle GARLAND,28 MAY 2000,USA,2,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1224,10.63,7.72,16.39,2.04,47.78,13.54,45.74,5.01,55.46,4:43.27
107,8630,Harrison WILLIAMS,07 MAR 1996,USA,1,"Hayward Field, Eugene, OR (USA)",07 JUL 2023,1224,10.65,7.48,15.33,1.99,46.35,14.22,47.26,5.20,59.07,4:35.30
109,8628,Erki NOOL,25 JUN 1970,EST,1f,Tallinn (EST),05 JUL 1998,1224,10.62,7.58,14.54,1.95,47.49,14.53,42.55,5.60,67.41,4:37.09
110,8627,Robert ZMĚLÍK,18 APR 1969,TCH,1,Götzis (AUT),31 MAY 1992,1224,10.62,8.02,13.93,2.05,48.73,13.84,44.44,4.90,61.26,4:24.83
111,8626,Michael SMITH,16 SEP 1967,CAN,1,Götzis (AUT),26 MAY 1996,1223,11.23,7.72,16.94,1.97,48.69,14.77,52.90,4.90,71.22,4:41.95
112,8619,Damian WARNER,04 NOV 1989,CAN,2,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1222,10.29,7.75,14.92,2.00,47.76,13.60,46.32,4.50,59.92,4:26.16
113,8617,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,1f,Götzis (AUT),01 JUN 1997,1222,10.76,7.54,16.56,2.00,47.09,13.79,47.64,5.20,55.18,4:44.32
113,8617,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,1222,10.86,7.90,13.89,2.15,47.46,14.05,39.63,5.00,64.35,4:29.10
115,8616,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Letzigrund, Zürich (SUI)",13 AUG 2014,1222,11.31,7.63,15.19,2.22,50.53,14.20,47.46,5.10,68.11,4:39.39
116,8613,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,5,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1221,10.85,7.48,16.32,1.98,46.91,13.95,49.62,5.00,57.66,4:34.68
117,8611,Robert ZMĚLÍK,18 APR 1969,TCH,1,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1221,10.78,7.87,14.53,2.06,48.65,13.95,45.00,5.10,59.06,4:27.21
117,8611,Garrett SCANTLING,19 MAY 1993,USA,4,"National Stadium, Tokyo (JPN)",05 AUG 2021,1221,10.67,7.30,15.59,1.99,48.25,14.03,45.46,5.10,69.10,4:35.54
119,8608,Markus ROOTH,22 DEC 2001,NOR,1,"Leppävaaran Stadion, Espoo (FIN)",16 JUL 2023,1221,10.81,7.61,15.31,2.03,49.05,14.43,48.63,5.10,63.71,4:29.66
120,8607,Trey HARDEE,07 FEB 1984,USA,1,"DS, Daegu (KOR)",28 AUG 2011,1221,10.55,7.45,15.09,2.02,48.37,13.97,49.89,4.80,68.99,4:45.68
121,8606,Roman ŠEBRLE,26 NOV 1974,CZE,2,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1220,10.92,7.62,15.22,2.12,48.20,13.87,44.39,4.80,64.04,4:28.79
121,8606,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Stadionring, Ratingen (GER)",13 JUL 2003,1220,10.93,7.60,15.41,2.09,48.59,14.30,47.31,5.10,63.14,4:35.37
123,8605,Arthur ABELE,30 JUL 1986,GER,1,"Stadionring, Ratingen (GER)",26 JUN 2016,1220,10.95,7.48,15.79,1.98,49.43,14.07,46.20,4.90,71.89,4:24.12
124,8604,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,1,Götzis (AUT),30 MAY 1993,1220,10.74,7.67,15.99,2.08,47.41,13.65,45.20,4.80,59.98,4:42.82
124,8604,Steve FRITZ,01 NOV 1967,USA,1,"Indianapolis, IN (USA)",12 JUN 1997,1220,10.75,7.39,14.92,2.04,48.53,13.74,50.28,5.00,64.48,4:41.49
124,8604,Erki NOOL,25 JUN 1970,EST,2,Götzis (AUT),27 MAY 2001,1220,10.73,7.80,14.37,1.97,46.89,14.46,43.32,5.30,66.94,4:39.11
124,8604,Maicel UIBO,27 DEC 1992,EST,2,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1220,11.10,7.46,15.12,2.17,50.44,14.43,46.64,5.40,63.83,4:31.51
124,8604,Pierce LEPAGE,22 JAN 1996,CAN,5,"National Stadium, Tokyo (JPN)",05 AUG 2021,1220,10.43,7.65,15.31,1.99,46.92,14.39,47.14,5.00,57.24,4:31.85
129,8603,Dean MACEY,12 DEC 1977,GBR,3,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1220,10.72,7.59,15.41,2.15,46.21,14.34,46.96,4.70,54.61,4:29.05
130,8601,Ilya SHKURENYOV,11 JAN 1991,RUS,1,Smolensk (RUS),10 JUN 2017,1220,10.89,7.58,14.15,2.12,49.00,13.95,44.91,5.30,60.29,4:28.35
131,8595,Chris HUFFINS,19 APR 1970,USA,3,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1219,10.48,7.71,15.27,2.09,48.31,13.91,49.55,4.70,56.62,4:38.71
132,8592,Tomáš DVOŘÁK,11 MAY 1972,CZE,2,Götzis (AUT),31 MAY 1998,1218,10.67,7.58,15.50,2.00,48.04,13.84,45.95,4.70,70.64,4:41.19
133,8591,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1218,10.35,7.85,14.09,2.03,47.49,13.54,44.35,4.70,57.69,4:29.33
134,8590,Sander SKOTHEIM,31 MAY 2002,NOR,3,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1218,10.76,7.60,13.74,2.15,47.64,14.16,43.01,4.90,61.22,4:19.38
135,8589,Roman ŠEBRLE,26 NOV 1974,CZE,2f,Tallinn (EST),05 JUL 1998,1218,10.73,8.03,15.43,2.07,49.56,14.12,45.80,4.80,65.08,4:40.94
