Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Long Jump,Discus Throw,Javelin Throw,1500m,200m,ResultScore
34,8795,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,7.81,47.32,61.94,4:26.59,23.01,4115
35,8791,Bryan CLAY,03 JAN 1980,USA,1,"National Stadium, Beijing (CHN)",22 AUG 2008,7.78,53.79,70.97,5:06.59,23.26,3822
36,8790,Trey HARDEE,07 FEB 1984,USA,1,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.83,48.08,68,4:48.91,23.22,3912
37,8784,Tom PAPPAS,06 SEP 1976,USA,1,"Palo Alto, CA (USA)",22 JUN 2003,7.96,45.84,60.77,4:48.12,23.44,3778
38,8768,Kevin MAYER,10 FEB 1992,FRA,1,"Olympic Stadium, London (GBR)",12 AUG 2017,7.52,47.14,66.1,4:36.73,23.08,3972
39,8757,Roman ŠEBRLE,26 NOV 1974,CZE,2,Götzis (AUT),04 JUN 2000,7.88,47.21,67.23,4:35.06,23.15,4079
40,8756,Lindon VICTOR,28 FEB 1993,GRN,3,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.55,54.97,68.05,4:39.67,23.06,4116
41,8755,Dan O'BRIEN,18 JUL 1966,USA,1,"New York, NY (USA)",20 JUL 1998,7.78,48.87,66.31,5:08.77,22.33,3764
42,8750,Tom PAPPAS,06 SEP 1976,USA,1,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,7.62,46.94,65.9,4:44.31,23.21,3875
42,8750,Ashton EATON,21 JAN 1988,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,7.84,41.39,57.84,4:25.15,22.85,3995
44,8744,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,"La Cartuja, Sevilla (ESP)",25 AUG 1999,7.98,46.26,70.11,4:39.87,23.21,4055
45,8742,Erki NOOL,25 JUN 1970,EST,3,Götzis (AUT),04 JUN 2000,7.78,44.16,69.1,4:35.59,22.88,4057
46,8738,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Götzis (AUT),30 MAY 1999,7.77,46.54,68.66,4:33.99,23.19,4071
47,8735,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,1,Götzis (AUT),29 MAY 1994,7.26,49.7,60.32,4:35.09,23.43,3855
48,8733,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Talence (FRA),30 JUL 2000,7.58,49.22,69.37,4:30.83,22.88,4170
49,8732,Tom PAPPAS,06 SEP 1976,USA,2,Götzis (AUT),30 MAY 2004,7.45,48.73,64.48,4:49.03,23.51,3752
49,8732,Bryan CLAY,03 JAN 1980,USA,1,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,7.54,53.68,72,5:03.77,22.78,3882
51,8730,Jürgen HINGSEN,15 APR 1958,FRG,2,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,7.89,48.42,64.38,4:21.61,22.34,4339
51,8730,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,2,"Olympic Stadium, Athina (GRE)",06 AUG 1997,7.56,50.5,59.82,4:37.10,22.48,4030
53,8729,Ashton EATON,21 JAN 1988,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUN 2011,7.8,41.58,56.19,4:24.10,23.89,3840
54,8726,Dan O'BRIEN,18 JUL 1966,USA,1,"Atlanta, GA (USA)",22 JUN 1996,7.46,49.38,65.22,5:12.01,22.60,3612
54,8726,Kevin MAYER,10 FEB 1992,FRA,2,"National Stadium, Tokyo (JPN)",05 AUG 2021,7.5,48.08,73.09,4:43.17,23.12,3998
56,8725,Dmitriy KARPOV,23 JUL 1981,KAZ,3,"Olympic Stadium, Athina (GRE)",24 AUG 2004,7.81,51.65,55.54,4:38.11,23.03,3958
56,8725,Trey HARDEE,07 FEB 1984,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2015,7.61,52.05,61.92,4:45.77,23.43,3863
58,8724,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,7.05,49.26,61.88,4:39.34,22.90,3842
59,8720,Kyle GARLAND,28 MAY 2000,USA,2,"John McDonnell Field, Fayetteville, AR (USA)",07 MAY 2022,7.86,46.16,59.63,4:43.21,22.54,3928
60,8715,Dan O'BRIEN,18 JUL 1966,USA,1,St. Petersburg (RUS),29 JUL 1994,7.81,48.1,62.2,5:10.94,22.97,3585
61,8711,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.67,47.23,63.67,4:37.39,22.94,3983
62,8710,Dan O'BRIEN,18 JUL 1966,USA,1,Talence (FRA),11 SEP 1994,7.75,48.88,59.56,4:56.58,23.18,3701
63,8707,Dan O'BRIEN,18 JUL 1966,USA,1,"Knoxville, TN (USA)",15 JUN 1994,7.81,46.34,62.28,5:16.42,22.78,3511
64,8706,Frank BUSEMANN,26 FEB 1975,GER,2,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,8.07,45.04,66.86,4:31.41,23.37,4091
64,8706,Erki NOOL,25 JUN 1970,EST,2,Talence (FRA),30 JUL 2000,7.81,41.84,68.89,4:30.40,23.33,4022
66,8705,Dave JOHNSON,07 APR 1963,USA,1,"Azusa, CA (USA)",24 APR 1992,7.52,49.88,66.96,4:29.38,22.54,4199
67,8701,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Stadionring, Ratingen (GER)",16 JUN 2002,7.76,46.52,62.17,4:29.76,22.86,4074
67,8701,Pierce LEPAGE,22 JAN 1996,CAN,2,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,7.54,53.26,57.52,4:42.77,23.62,3820
69,8700,Pierce LEPAGE,22 JAN 1996,CAN,1,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,7.57,49.34,63.09,4:45.74,22.98,3882
70,8697,Roman ŠEBRLE,26 NOV 1974,CZE,1,Kladno (CZE),20 JUN 2007,7.84,47.66,68.87,4:40.44,22.64,4103
71,8695,Dan O'BRIEN,18 JUL 1966,USA,1,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,7.55,46.92,62.9,4:52.52,23.21,3715
71,8695,Damian WARNER,04 NOV 1989,CAN,2,"National Stadium, Beijing (CHN)",29 AUG 2015,7.65,44.99,63.5,4:31.51,23.67,3910
73,8694,Chris HUFFINS,19 APR 1970,USA,1,"New Orleans, LA (USA)",20 JUN 1998,7.76,53.22,61.59,4:59.43,23.53,3728
74,8691,Niklas KAUL,11 FEB 1998,GER,1,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,7.19,49.2,79.05,4:15.70,23.00,4394
75,8690,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Talence (FRA),19 SEP 1999,7.76,50.17,70.55,4:40.97,22.89,4115
76,8689,Trey HARDEE,07 FEB 1984,USA,1,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,7.88,45.2,63.33,4:46.88,23.42,3803
77,8682,Dan O'BRIEN,18 JUL 1966,USA,1,"Sacramento, CA (USA)",15 JUN 1995,7.82,51.18,61.56,5:01.02,23.24,3723
78,8681,Karel TILGA,05 FEB 1998,EST,4,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.58,50.57,66.42,4:20.73,23.08,4252
79,8677,Bryan CLAY,03 JAN 1980,USA,1,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,7.67,52.21,66.47,5:13.47,23.63,3571
80,8676,Siegfried WENTZ,07 MAR 1960,FRG,3,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,7.6,45.66,65.34,4:35.00,23.57,3907
80,8676,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,7.56,48.75,71.18,4:35.32,22.72,4148
80,8676,Zachery ZIEMEK,23 FEB 1993,USA,3,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,7.7,48.4,62.18,4:44.97,22.98,3890
83,8672,Erki NOOL,25 JUN 1970,EST,1,Götzis (AUT),31 MAY 1998,7.88,40.73,67.5,4:40.46,23.04,3911
84,8671,Trey HARDEE,07 FEB 1984,USA,2,"Olympic Stadium, London (GBR)",09 AUG 2012,7.53,48.26,66.65,4:40.94,22.88,3977
85,8670,Michael SCHRADER,01 JUL 1987,GER,2,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.85,46.44,65.67,4:25.38,22.61,4229
86,8667,Daley THOMPSON,30 JUL 1958,GBR,1,Arles (FRA),18 MAY 1986,7.81,47.62,63.28,4:30.04,22.65,4145
86,8667,Erki NOOL,25 JUN 1970,EST,1,"Népstadion, Budapest (HUN)",20 AUG 1998,7.8,40.79,70.65,4:38.00,23.19,3950
88,8666,Damian WARNER,04 NOV 1989,CAN,3,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.67,44.93,63.19,4:24.90,22.98,4084
89,8664,Tomáš DVOŘÁK,11 MAY 1972,CZE,3,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.6,46.28,70.16,4:31.25,22.68,4153
89,8664,Erki NOOL,25 JUN 1970,EST,2,Talence (FRA),19 SEP 1999,7.93,44.47,68.84,4:44.51,23.21,3936
91,8663,Daley THOMPSON,30 JUL 1958,GBR,1,Edinburgh (GBR),28 JUL 1986,7.7,43.72,60.82,4:39.63,22.95,3855
91,8663,Rico FREIMUTH,14 MAR 1988,GER,1,"Stadionring, Ratingen (GER)",25 JUN 2017,7.6,51.56,62.33,4:37.04,22.74,4059
93,8660,Bryan CLAY,03 JAN 1980,USA,1,"Sacramento, CA (USA)",17 JUL 2004,7.59,52.1,68.36,5:06.18,23.26,3718
94,8659,Damian WARNER,04 NOV 1989,CAN,1,"CIBC, Toronto (CAN)",23 JUL 2015,7.68,47.56,61.53,4:24.73,23.28,4073
95,8654,Leonel SUÁREZ,01 SEP 1987,CUB,1,La Habana (CUB),04 JUL 2009,7.42,46.07,77.47,4:27.29,22.32,4311
96,8652,Frank BUSEMANN,26 FEB 1975,GER,3,"Olympic Stadium, Athina (GRE)",06 AUG 1997,7.96,42.56,63.92,4:29.27,23.31,4015
97,8649,Ashley MOLONEY,13 MAR 2000,AUS,3,"National Stadium, Tokyo (JPN)",05 AUG 2021,7.64,44.38,57.12,4:39.19,23.08,3790
98,8647,Garrett SCANTLING,19 MAY 1993,USA,1,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,7.61,48.17,64.21,4:57.75,23.12,3716
99,8645,Siegfried WENTZ,07 MAR 1960,FRG,1,Götzis (AUT),24 MAY 1987,7.49,48.2,65.5,4:34.58,23.98,3883
99,8645,Leo NEUGEBAUER,19 JUN 2000,GER,5,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,8,47.63,57.95,4:43.93,22.91,3903
101,8644,Steve FRITZ,01 NOV 1967,USA,4,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.77,49.84,65.7,4:38.26,22.69,4103
101,8644,Maurice SMITH,28 SEP 1980,JAM,2,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,7.5,52.36,53.61,4:33.52,23.42,3882
103,8641,Erki NOOL,25 JUN 1970,EST,1,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7.76,43.66,65.82,4:29.48,23.61,3976
104,8640,Leonel SUÁREZ,01 SEP 1987,CUB,2,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.24,44.71,75.19,4:27.25,23.30,4084
105,8636,Steve FRITZ,01 NOV 1967,USA,2,"Atlanta, GA (USA)",22 JUN 1996,7.62,50.24,63.74,4:46.20,23.01,3909
106,8634,Roman ŠEBRLE,26 NOV 1974,CZE,2,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,7.64,47.47,69.79,4:34.45,22.55,4156
107,8630,Kyle GARLAND,28 MAY 2000,USA,2,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,7.72,45.74,55.46,4:43.27,22.91,3781
107,8630,Harrison WILLIAMS,07 MAR 1996,USA,1,"Hayward Field, Eugene, OR (USA)",07 JUL 2023,7.48,47.26,59.07,4:35.30,23.32,3852
109,8628,Erki NOOL,25 JUN 1970,EST,1f,Tallinn (EST),05 JUL 1998,7.58,42.55,67.41,4:37.09,23.72,3829
110,8627,Robert ZMĚLÍK,18 APR 1969,TCH,1,Götzis (AUT),31 MAY 1992,8.02,44.44,61.26,4:24.83,22.78,4151
111,8626,Michael SMITH,16 SEP 1967,CAN,1,Götzis (AUT),26 MAY 1996,7.72,52.9,71.22,4:41.95,22.87,4156
112,8619,Damian WARNER,04 NOV 1989,CAN,2,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,7.75,46.32,59.92,4:26.16,23.06,4054
113,8617,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,1f,Götzis (AUT),01 JUN 1997,7.54,47.64,55.18,4:44.32,24.38,3563
113,8617,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,7.9,39.63,64.35,4:29.10,22.87,4015
115,8616,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Letzigrund, Zürich (SUI)",13 AUG 2014,7.63,47.46,68.11,4:39.39,23.40,3954
116,8613,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,5,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.48,49.62,57.66,4:34.68,23.20,3900
117,8611,Robert ZMĚLÍK,18 APR 1969,TCH,1,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,7.87,45,59.06,4:27.21,23.56,3964
117,8611,Garrett SCANTLING,19 MAY 1993,USA,4,"National Stadium, Tokyo (JPN)",05 AUG 2021,7.3,45.46,69.1,4:35.54,23.16,3940
119,8608,Markus ROOTH,22 DEC 2001,NOR,1,"Leppävaaran Stadion, Espoo (FIN)",16 JUL 2023,7.61,48.63,63.71,4:29.66,23.35,4037
120,8607,Trey HARDEE,07 FEB 1984,USA,1,"DS, Daegu (KOR)",28 AUG 2011,7.45,49.89,68.99,4:45.68,23.48,3883
121,8606,Roman ŠEBRLE,26 NOV 1974,CZE,2,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7.62,44.39,64.04,4:28.79,23.78,3919
121,8606,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Stadionring, Ratingen (GER)",13 JUL 2003,7.6,47.31,63.14,4:35.37,22.96,3984
123,8605,Arthur ABELE,30 JUL 1986,GER,1,"Stadionring, Ratingen (GER)",26 JUN 2016,7.48,46.2,71.89,4:24.12,23.34,4150
124,8604,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,1,Götzis (AUT),30 MAY 1993,7.67,45.2,59.98,4:42.82,22.78,3847
124,8604,Steve FRITZ,01 NOV 1967,USA,1,"Indianapolis, IN (USA)",12 JUN 1997,7.39,50.28,64.48,4:41.49,24.21,3768
124,8604,Erki NOOL,25 JUN 1970,EST,2,Götzis (AUT),27 MAY 2001,7.8,43.32,66.94,4:39.11,22.59,4011
124,8604,Maicel UIBO,27 DEC 1992,EST,2,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,7.46,46.64,63.83,4:31.51,22.55,4054
124,8604,Pierce LEPAGE,22 JAN 1996,CAN,5,"National Stadium, Tokyo (JPN)",05 AUG 2021,7.65,47.14,57.24,4:31.85,23.59,3868
129,8603,Dean MACEY,12 DEC 1977,GBR,3,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,7.59,46.96,54.61,4:29.05,23.09,3917
130,8601,Ilya SHKURENYOV,11 JAN 1991,RUS,1,Smolensk (RUS),10 JUN 2017,7.58,44.91,60.29,4:28.35,23.13,3960
131,8595,Chris HUFFINS,19 APR 1970,USA,3,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7.71,49.55,56.62,4:38.71,22.73,3946
132,8592,Tomáš DVOŘÁK,11 MAY 1972,CZE,2,Götzis (AUT),31 MAY 1998,7.58,45.95,70.64,4:41.19,23.05,3976
133,8591,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.85,44.35,57.69,4:29.33,23.67,3887
134,8590,Sander SKOTHEIM,31 MAY 2002,NOR,3,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,7.6,43.01,61.22,4:19.38,23.01,4071
135,8589,Roman ŠEBRLE,26 NOV 1974,CZE,2f,Tallinn (EST),05 JUL 1998,8.03,45.8,65.08,4:40.94,22.90,4015
135,8589,Kyle GARLAND,28 MAY 2000,USA,1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,7.87,46.76,53.43,4:54.59,22.95,3657
137,8587,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,2,"Népstadion, Budapest (HUN)",20 AUG 1998,7.44,47.85,55.34,4:33.98,23.35,3814
138,8586,Dmitriy KARPOV,23 JUL 1981,KAZ,3,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,7.19,48.95,59.84,4:39.68,23.38,3769
139,8585,Tom PAPPAS,06 SEP 1976,USA,2,Götzis (AUT),01 JUN 2003,7.42,46.71,62.06,5:00.25,23.72,3506
139,8585,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"FBK Stadium, Hengelo (NED)",29 JUN 2008,7.68,41.85,64.09,4:29.92,23.04,3972
141,8583,Tom PAPPAS,06 SEP 1976,USA,2,Götzis (AUT),02 JUN 2002,7.62,45.75,63.42,4:57.17,22.77,3717
142,8582,Tomáš DVOŘÁK,11 MAY 1972,CZE,2f,Götzis (AUT),01 JUN 1997,7.76,45.08,69.86,4:41.20,23.18,3970
143,8580,Kai KAZMIREK,28 JAN 1991,GER,4,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.69,43.25,64.6,4:31.25,22.80,4022
144,8576,Chris HUFFINS,19 APR 1970,USA,2,"New York, NY (USA)",20 JUL 1998,7.85,49.72,61.12,4:59.99,22.85,3761
145,8575,Erki NOOL,25 JUN 1970,EST,1,Götzis (AUT),28 MAY 1995,8.1,39.16,65.42,4:37.51,23.71,3847
146,8574,Christian PLAZIAT,28 OCT 1963,FRA,1,"Poljud Stadion, Split (CRO)",29 AUG 1990,7.77,44.36,54.72,4:27.83,23.05,3930
146,8574,Oleksandr YURKOV,21 JUL 1975,UKR,4,Götzis (AUT),04 JUN 2000,7.93,47.85,58.92,4:32.49,23.85,3922
148,8573,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,3,Götzis (AUT),31 MAY 1998,7.6,47.82,59.77,4:46.43,23.67,3713
148,8573,Zachery ZIEMEK,23 FEB 1993,USA,3,"John McDonnell Field, Fayetteville, AR (USA)",07 MAY 2022,7.62,51.64,60.1,4:39.60,23.32,3924
150,8572,Niklas KAUL,11 FEB 1998,GER,1,"Gunder Hägg Stadion, Gävle (SWE)",14 JUL 2019,7.26,47.35,77.36,4:17.63,23.72,4231
151,8571,Lev LOBODIN,01 APR 1969,RUS,3,"Népstadion, Budapest (HUN)",20 AUG 1998,7.42,46.55,56.55,4:30.27,22.68,3940
152,8569,Tom PAPPAS,06 SEP 1976,USA,1,Marburg (GER),09 AUG 2009,7.63,51.57,61.7,5:00.77,23.40,3672
153,8567,Dean MACEY,12 DEC 1977,GBR,4,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7.77,43.37,60.38,4:23.45,23.16,4031
154,8566,Sebastian CHMARA,21 NOV 1971,POL,1,Alhama de Murcia (ESP),17 MAY 1998,7.56,44.39,57.25,4:29.66,22.95,3911
155,8564,Rico FREIMUTH,14 MAR 1988,GER,2,"Olympic Stadium, London (GBR)",12 AUG 2017,7.48,51.17,62.34,4:41.57,23.14,3916
156,8561,Rico FREIMUTH,14 MAR 1988,GER,3,"National Stadium, Beijing (CHN)",29 AUG 2015,7.51,50.17,60.61,4:37.05,23.47,3892
156,8561,Sander SKOTHEIM,31 MAY 2002,NOR,2,"Leppävaaran Stadion, Espoo (FIN)",16 JUL 2023,7.7,43.31,57.93,4:16.60,23.78,3983
158,8558,Pascal BEHRENBRUCH,19 JAN 1985,GER,1,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,7.15,48.24,67.45,4:34.02,22.70,4016
159,8556,Frank BUSEMANN,26 FEB 1975,GER,1,Ratingen (GER),01 JUN 1997,7.68,43.26,66.96,4:36.54,23.60,3880
159,8556,Dean MACEY,12 DEC 1977,GBR,2,"La Cartuja, Sevilla (ESP)",25 AUG 1999,7.48,43.78,64.03,4:29.31,23.14,3957
161,8555,Michael SMITH,16 SEP 1967,CAN,3,Götzis (AUT),01 JUN 1997,7.52,50.16,70.54,4:46.60,23.18,3953
162,8554,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,5,Götzis (AUT),04 JUN 2000,7.24,45.64,63.57,4:23.13,23.04,4024
163,8553,Dmitriy KARPOV,23 JUL 1981,KAZ,2,Kladno (CZE),20 JUN 2007,7.54,52.24,55.66,4:40.28,22.56,3949
163,8553,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Stade Pierre Paul Bernard, Talence (FRA)",23 SEP 2007,7.73,44.08,64.08,4:48.99,23.41,3736
165,8552,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,4,"Népstadion, Budapest (HUN)",20 AUG 1998,7.39,39.34,63.99,4:32.23,23.07,3829
165,8552,Kevin MAYER,10 FEB 1992,FRA,1,"Stade P-J. Bénard, St-Paul (FRA)",19 DEC 2020,7.4,50.32,67.66,4:47.74,23.14,3881
167,8551,Andrei KRAUCHANKA,04 JAN 1986,BLR,2,"National Stadium, Beijing (CHN)",22 AUG 2008,7.61,44.58,60.23,4:27.47,23.05,3982
168,8550,Lindon VICTOR,28 FEB 1993,GRN,1,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2022,7.49,51,66.01,4:43.74,22.96,3964
169,8549,Michael SMITH,16 SEP 1967,CAN,2,"National Stadium, Tokyo (JPN)",30 AUG 1991,7.68,48.42,65.46,4:29.14,23.32,4084
170,8548,Paul MEIER,27 JUL 1971,GER,3,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,7.57,45.72,61.22,4:32.05,23.30,3917
